
law,company,full_text,link
UK Data Protection Act (GDPR) – failure to protect children’s data,TikTok,"The UK Information Commissioner’s Office fined TikTok £12.7 million in April 2023 for allowing around 1.4 million UK children under 13 to access the platform and for misusing their personal data.  The ICO press release notes that TikTok failed to do enough to verify children’s ages, did not obtain parental consent, and provided inadequate information to users about how their data was collected and used.  UK data protection law requires parental consent before personal data of children under 13 can be used.  The ICO emphasised that TikTok should have removed children from the platform and that its privacy notices were insufficienthttps://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2023/04/ico-fines-tiktok-127-million-for-misusing-children-s-data/#:~:text=The%20Information%20Commissioner%E2%80%99s%20Office%20,use%20children%E2%80%99s%20personal%20data%20lawfully.",https://ico.org.uk/about-the-ico/media-centre/news-and-blogs/2023/04/ico-fines-tiktok-12-7m-for-misusing-children-s-data/
GDPR fairness and data protection by design requirements,TikTok,"In September 2023, the European Data Protection Board (EDPB) announced a binding decision finding that TikTok violated the GDPR’s fairness principle when presenting privacy options to children aged 13 to 17.  TikTok designed pop‑up windows that nudged young users to choose public accounts and to post content immediately, while options for private accounts and drafts were harder to access.  The EDPB found these dark patterns unfair and manipulative and instructed the Irish Data Protection Commission to order TikTok to eliminate the practices.  The decision also required TikTok to pay a €345 million fine and ensure its design complies with data protection by design and defaulthttps://www.edpb.europa.eu/news/news/2023/following-edpb-decision-tiktok-ordered-eliminate-unfair-design-practices-concerning_en#:~:text=Brussels%2C%2015%20September%C2%A0%E2%80%93%20Following%20the,July%20and%2031%20December%202020.",https://edpb.europa.eu/news/news/2023/edpb-binding-decision-tiktok-inquiry-regarding-unfair-design-practices_en
GDPR Articles 25(1) and 25(2) – data protection by design and default,Facebook (Meta Platforms),"The European Data Protection Board reported that the Irish Data Protection Commission fined Meta Platforms €265 million in December 2022 for failing to protect personal data in its Facebook Search, Messenger Contact Importer and Instagram Contact Importer tools.  The inquiry covered the period from May 25, 2018 to September 2019 and concluded that Meta failed to implement appropriate technical and organisational measures to comply with data protection by design and default, as required by GDPR Articles 25(1) and 25(2).  The decision imposed a fine, a reprimand, and an order to bring processing into compliance with GDPRhttps://www.edpb.europa.eu/news/national-news/2022/irish-supervisory-authority-announces-decision-facebook-data-scraping_en#:~:text=,border%2C%20Article%2025.",https://edpb.europa.eu/news/news/2022/edpb-adopts-binding-decision-ordering-irish-dpc-to-adjust-its-approach-facebook-data_en
GDPR – protection of children’s personal data and transparency,Instagram (Meta Platforms),"The EDPB’s September 2022 press release described a decision against Instagram for exposing children’s phone numbers and email addresses and setting personal accounts to “public” by default.  The Irish Data Protection Commission imposed a €405 million fine, the second‑largest GDPR fine at the time, after finding that Instagram’s default settings and publication of children’s contact information violated the GDPR’s requirements for data protection by design and transparency.  The decision required Instagram to change its settings so that children’s accounts are private by default and to ensure that publishing contact details is justified under the GDPRhttps://www.edpb.europa.eu/news/news/2022/record-fine-instagram-following-edpb-intervention_en#:~:text=Brussels%2C%2015%20September%20,GDPR%20fine%20of%20%E2%82%AC405%20million.",https://edpb.europa.eu/news/news/2022/binding-decision-instagram-inquiry-edpb-requires-irish-dpc-reassess-fine-second-largest_en
California Consumer Privacy Act (CCPA) and Children’s Online Privacy Protection Act (COPPA),Tilting Point Media (game: SpongeBob: Krusty Cook‑Off),"The California Attorney General announced in June 2024 a $500,000 settlement with Tilting Point Media for illegally collecting children’s data through the mobile game “SpongeBob: Krusty Cook‑Off.”  The settlement resolved allegations that Tilting Point and its subsidiary Nukebox Studios violated the CCPA and COPPA by collecting and sharing data from children under 13 through third‑party advertising SDKs without adequate notice or consent.  The agreement required the companies to pay a monetary penalty, obtain parental consent before collecting data from children, implement neutral age screens, govern third‑party SDKs, and provide annual reports on compliancehttps://oag.ca.gov/news/press-releases/attorney-general-bonta-la-city-attorney-feldstein-soto-announce-500000#:~:text=Attorney%20General%20Bonta%2C%20L,Collecting%20and%20Sharing%20Children%E2%80%99s%20Data.",https://oag.ca.gov/news/press-releases/attorney-general-bonta-secures-500000-penalty-against-tilting-point-media
California Consumer Privacy Act (CCPA) and California Online Privacy Protection Act (CalOPPA),DoorDash,"In February 2024, the California Attorney General announced a settlement with DoorDash for violating the CCPA and CalOPPA by selling consumers’ personal information through marketing cooperatives without providing notice or a meaningful opportunity to opt out.  The press release explains that DoorDash disclosed customer names, addresses and purchase histories to data cooperatives, which shared the data with other businesses for marketing.  Under the settlement, DoorDash must pay a penalty, provide clear notice and opt‑out options before selling data, conduct regular reviews of vendors’ compliance, and file annual reports with the AG’s officehttps://oag.ca.gov/news/press-releases/attorney-general-bonta-announces-settlement-doordash-investigation-finds-company#:~:text=Attorney%20General%20Bonta%20Announces%20Settlement,Violated%20Multiple%20Consumer%20Privacy%20Laws.",https://oag.ca.gov/news/press-releases/attorney-general-bonta-secures-settlement-against-doordash-violating-privacy-laws
"California Unfair Competition Law, False Advertising Law and COPPA (lawsuit)",TikTok,"A coalition of state attorneys general led by California sued TikTok in October 2024, alleging that the platform’s design and marketing practices harm children and violate state consumer protection statutes and COPPA.  The CA Attorney General’s press release states that TikTok’s algorithm promotes compulsive use through addictive features like endless scroll, autoplay, push notifications, Stories and Likes.  TikTok allegedly misleads users about the safety of its platform, fails to obtain parental consent for users under 13, and deceptively markets the platform as appropriate for young users.  The lawsuit seeks injunctive relief and civil penalties for violations of the Unfair Competition Law, False Advertising Law and COPPAhttps://oag.ca.gov/news/press-releases/attorney-general-bonta-attorney-general-james-lead-coalition-suing-tiktok#:~:text=Attorney%20General%20Bonta%2C%20Attorney%20General,Exploiting%20Young%20Users%2C%20Deceiving%20Public.",https://oag.ca.gov/news/press-releases/attorney-general-bonta-sues-tiktok-exploitation-young-users
Consumer protection laws and COPPA – addictive design harming youth mental health,Meta Platforms (Facebook/Instagram),"In October 2023, a bipartisan coalition of 32 state attorneys general filed a lawsuit against Meta, alleging that the company’s social media platforms, including Facebook and Instagram, harm young users’ mental health.  The New York Attorney General’s press release claims that Meta intentionally designed features such as algorithmic recommendation systems, Likes, infinite scroll and notifications to maximize engagement and time spent, leading to addiction.  The lawsuit also alleges that Meta collected personal data from children under 13 without parental consent, violating COPPA.  The attorneys general seek to stop Meta from deploying harmful design features and to impose civil penalties for violating consumer protection lawshttps://ag.ny.gov/press-release/2023/attorney-general-james-and-multistate-coalition-sue-meta-harming-youth#:~:text=October%2024%2C%202023https://ag.ny.gov/press-release/2023/attorney-general-james-and-multistate-coalition-sue-meta-harming-youth#:~:text=Filing%20lawsuits%20in%20their%20own,and%20the%20District%20of%20Columbia.",https://ag.ny.gov/press-release/2023/oct/nys-ag-james-leads-bipartisan-coalition-attorneys-general-suing-meta-youth-mental-health
"State consumer protection laws, breach notification laws and HIPAA",Blackbaud Inc.,"A multistate investigation led by the Alaska Attorney General resulted in an October 2023 settlement with software company Blackbaud over a 2020 ransomware attack that exposed personal and medical information.  The press release notes that Blackbaud failed to implement reasonable data security and delayed notifying customers and donors of the breach.  These failures violated state consumer protection laws, data breach notification statutes, and the Health Insurance Portability and Accountability Act (HIPAA).  Blackbaud agreed to pay $49.5 million to states and implement enhanced security measures, including encryption, access controls, and a written incident response planfile:///home/oai/redirect.html#:~:text=Attorney%20General%20Taylor%20Announces%20Settlement,Regarding%20Data%20Breachfile:///home/oai/redirect.html#:~:text=Today%E2%80%99s%20settlement%20resolves%20allegations%20of,or%20never%20occurred%20at%20all.",https://law.alaska.gov/news/latest/2023/100523-blackbaud.html
GDPR – valid consent and targeted advertising,Criteo,"In June 2023, France’s data protection authority CNIL imposed a €40 million fine on ad‑tech company Criteo after complaints from privacy group noyb and La Quadrature du Net.  According to noyb’s article, Criteo’s retargeting platform tracks users across the web and displays personalised ads, but CNIL found it could not prove that it had obtained valid consent from users.  The authority concluded that Criteo violated the GDPR by failing to demonstrate a lawful basis for processing.  noyb welcomed the decision and urged enforcement against other ad‑tech firmshttps://noyb.eu/en/advertising-company-criteo-fined-eu40-mio#:~:text=The%20French%20Data%20Protection%20Authority,that%20they%20obtained%20valid%20consent.",https://noyb.eu/en/cnils-decision-criteo-fined-40-million-euros-after-noyb-complaint
GDPR – right of access to personal data,Spotify,"A June 2023 decision by the Swedish Data Protection Authority fined Spotify €5 million after noyb filed a complaint on behalf of a user who was denied full access to their personal data.  According to the noyb article, the authority found that Spotify failed to provide all requested personal data and did not explain how the data was processed, violating Article 15 of the GDPR.  The decision affirms that data controllers must provide complete and intelligible copies of personal data and details of processing.  noyb called the ruling a milestone for users’ rights in Europehttps://noyb.eu/en/spotify-fined-eu-5-million-gdpr-violation#:~:text=Following%20a%20noyb%20complaint%20and,Netherlands%20by%20Bits%20of%20Freedom.",https://noyb.eu/en/spotify-fined-5-million-euro-after-noyb-complaint
GDPR – unlawful data transfers to the U.S.,Meta Platforms (Facebook),"noyb reported in May 2023 that the European Data Protection Board (EDPB) fined Meta €1.2 billion and ordered it to stop transferring personal data of EU users to the United States.  The complaint stemmed from concerns that U.S. surveillance laws (notably FISA 702) did not adequately protect Europeans’ data.  The decision required Meta to suspend data transfers under Standard Contractual Clauses and delete or return affected data.  The article includes comments from privacy activist Max Schrems, who noted that the fine shows that companies cannot simply move data to the U.S. without safeguardshttps://noyb.eu/en/edpb-decision-facebooks-eu-us-data-transfers-stop-transfers-fine-and-repatriation#:~:text=Today%2C%20a%20decade,brought%20back%20to%20the%20EU.",https://noyb.eu/en/eu-us-data-transfers-edpb-fines-meta-record-eu-privacy-case
GDPR – forced consent (bundling) complaints,Google,"On May 25, 2018, the first day of the GDPR, noyb filed complaints against Google and three Facebook-owned services (Facebook, Instagram and WhatsApp) for requiring users to consent to data processing as a condition of using the services.  The article explains that this “forced consent” or bundling violates the GDPR requirement that consent must be freely given.  Users had to agree to extensive data processing (including use of personal data for targeted advertising) or lose access to the services.  noyb argued that such take‑it‑or‑leave‑it consent is invalid and sought fines of up to €7 billionhttps://noyb.eu/en/noybeu-filed-complaints-over-forced-consent-against-google-instagram-whatsapp-and-facebook#:~:text=Privacy%20%C3%A0%20la%20%E2%80%9Ctake%20it,and%20Instagram%20over%20%E2%80%9Cforced%20consent%E2%80%9D.",https://noyb.eu/en/gdpr-complaints-against-google-facebook-instagram-and-whatsapp-forced-consent
GDPR – forced consent (bundling) complaints,Facebook,"noyb’s 2018 forced consent complaints also targeted Facebook.  The article details how Facebook forced users to accept its data processing terms in order to continue using the service on the eve of the GDPR coming into force.  Users were confronted with a “consent screen” and had to agree to the terms to keep their account.  noyb argues that this violates the GDPR’s requirement for freely given consent, as users cannot refuse without consequences.  The complaints sought multi‑billion-euro fineshttps://noyb.eu/en/noybeu-filed-complaints-over-forced-consent-against-google-instagram-whatsapp-and-facebook#:~:text=Privacy%20%C3%A0%20la%20%E2%80%9Ctake%20it,and%20Instagram%20over%20%E2%80%9Cforced%20consent%E2%80%9D.",https://noyb.eu/en/gdpr-complaints-against-google-facebook-instagram-and-whatsapp-forced-consent
GDPR – forced consent (bundling) complaints,Instagram,"The 2018 noyb article describes complaints against Instagram for forcing users to consent to extensive data processing to use the platform.  To access Instagram after May 25, 2018, users had to accept a new data policy that allowed Instagram to share data with parent company Facebook and third parties for targeted advertising.  noyb alleges that this forced consent violates the GDPR because consent must be freely given and cannot be bundled with service usehttps://noyb.eu/en/noybeu-filed-complaints-over-forced-consent-against-google-instagram-whatsapp-and-facebook#:~:text=Privacy%20%C3%A0%20la%20%E2%80%9Ctake%20it,and%20Instagram%20over%20%E2%80%9Cforced%20consent%E2%80%9D.",https://noyb.eu/en/gdpr-complaints-against-google-facebook-instagram-and-whatsapp-forced-consent
GDPR – forced consent (bundling) complaints,WhatsApp,"The same 2018 complaints note that WhatsApp required users to accept a new privacy policy that allowed extensive data sharing with Facebook in order to continue using the messaging app.  noyb argued that by conditioning service on acceptance of the policy, WhatsApp violated the GDPR’s requirement that consent be freely given.  The complaints requested that data protection authorities impose significant fines and require unbundled consent formshttps://noyb.eu/en/noybeu-filed-complaints-over-forced-consent-against-google-instagram-whatsapp-and-facebook#:~:text=Privacy%20%C3%A0%20la%20%E2%80%9Ctake%20it,and%20Instagram%20over%20%E2%80%9Cforced%20consent%E2%80%9D.",https://noyb.eu/en/gdpr-complaints-against-google-facebook-instagram-and-whatsapp-forced-consent
GDPR – illegal sharing of personal data for advertising,Grindr,"In January 2020, the Norwegian Consumer Council and noyb filed complaints with the Norwegian Data Protection Authority against Grindr and several ad‑tech companies.  The report revealed that Grindr shared users’ personal data – including GPS location, age, gender and sexual orientation – with third‑party advertising companies without valid consent.  The complaint argued that such sharing violates the GDPR’s requirements for lawful processing and legitimate interest.  The Norwegian authority later imposed a substantial fine on Grindr.  The noyb article emphasises that data from LGBTQ+ dating app users is highly sensitivehttps://noyb.eu/en/three-gdpr-complaints-filed-against-grindr-twitter-and-adtech-companies-smaato-openx-adcolony-and#:~:text=,targeted%20advertising%20and%20other%20purposes.",https://noyb.eu/en/dating-app-grindr-shares-users-personal-data-adtech-companies
GDPR – illegal sharing of personal data for advertising,Twitter’s MoPub (ad platform),"The January 2020 complaints also targeted MoPub, Twitter’s mobile advertising subsidiary, for receiving and distributing personal data from Grindr without valid consent.  According to the noyb article, MoPub acted as a central hub connecting Grindr’s data to multiple ad‑tech partners, enabling the sale of sensitive personal information.  The complaint alleges that MoPub failed to ensure a legal basis and that such sharing violated the GDPR.  The Norwegian authority later signaled it would investigate these practiceshttps://noyb.eu/en/three-gdpr-complaints-filed-against-grindr-twitter-and-adtech-companies-smaato-openx-adcolony-and#:~:text=,targeted%20advertising%20and%20other%20purposes.",https://noyb.eu/en/dating-app-grindr-shares-users-personal-data-adtech-companies
GDPR – illegal sharing of personal data for advertising,Smaato,"Smaato, another ad‑tech company named in the 2020 complaints, received personal data from Grindr via MoPub and used it for targeted advertising.  The noyb article explains that Smaato integrated numerous data sources and acted as a data broker, yet did not obtain consent from Grindr users.  The complaint argued this violated the GDPR, as sensitive data (including sexual orientation) cannot be processed without explicit consent.  The Norwegian Consumer Council and noyb urged regulators to investigate and sanction the companyhttps://noyb.eu/en/three-gdpr-complaints-filed-against-grindr-twitter-and-adtech-companies-smaato-openx-adcolony-and#:~:text=,targeted%20advertising%20and%20other%20purposes.",https://noyb.eu/en/dating-app-grindr-shares-users-personal-data-adtech-companies
GDPR – illegal sharing of personal data for advertising,AdColony,"AdColony, an ad‑tech company, was also named in the 2020 complaints for receiving users’ personal data from Grindr.  The noyb article describes how Grindr and MoPub shared sensitive information such as user location and sexual orientation with AdColony for targeted advertising, without obtaining valid consent.  The complaint alleged that AdColony failed to ensure a lawful basis and thereby violated the GDPR.  The case highlighted the systemic problems in the real‑time bidding ecosystemhttps://noyb.eu/en/three-gdpr-complaints-filed-against-grindr-twitter-and-adtech-companies-smaato-openx-adcolony-and#:~:text=,targeted%20advertising%20and%20other%20purposes.",https://noyb.eu/en/dating-app-grindr-shares-users-personal-data-adtech-companies
GDPR – illegal sharing of personal data for advertising,OpenX,"OpenX, another ad‑tech company listed in the 2020 complaints, received personal data from Grindr through MoPub.  According to the noyb article, OpenX processed location, IP addresses and device identifiers for targeted advertising without users’ consent.  This practice allegedly violated the GDPR’s requirements for a lawful basis and transparency.  The complaints urged regulators to impose significant fines on OpenX and similar ad‑tech intermediarieshttps://noyb.eu/en/three-gdpr-complaints-filed-against-grindr-twitter-and-adtech-companies-smaato-openx-adcolony-and#:~:text=,targeted%20advertising%20and%20other%20purposes.",https://noyb.eu/en/dating-app-grindr-shares-users-personal-data-adtech-companies
GDPR – right of access to personal data and failure to respond to requests,TikTok,"In July 2025, noyb filed complaints against TikTok, AliExpress and WeChat after the companies failed to respond properly to Article 15 GDPR requests.  The article notes that noyb staff and volunteers requested their personal data from these companies but received incomplete responses or no responses at all.  The complaints allege that the companies violated the GDPR by ignoring data subject access rights and by failing to provide information about data processing.  noyb asked data protection authorities to impose fines of up to 4% of global turnoverhttps://noyb.eu/en/how-tiktok-aliexpress-wechat-ignore-your-gdpr-rights#:~:text=%2F%C2%A0%2017%20July%202025.",https://noyb.eu/en/tiktok-aliexpress-wechat-ignore-gdpr-rights-noyb-complaints
GDPR – right of access to personal data and failure to respond to requests,AliExpress,"The same July 2025 noyb complaints targeted AliExpress for failing to respond to data access requests.  The article states that AliExpress did not provide the requested personal data and information about processing, violating Article 15 GDPR.  noyb contends that as a large online marketplace, AliExpress must comply with EU data protection law and respect users’ rights.  It calls on regulators to fine the company and ensure compliancehttps://noyb.eu/en/how-tiktok-aliexpress-wechat-ignore-your-gdpr-rights#:~:text=%2F%C2%A0%2017%20July%202025.",https://noyb.eu/en/tiktok-aliexpress-wechat-ignore-gdpr-rights-noyb-complaints
GDPR – right of access to personal data and failure to respond to requests,WeChat (Tencent),"The July 2025 noyb complaints also included WeChat, which, according to the article, refused to provide any personal data in response to GDPR access requests.  noyb argues that WeChat is obligated to comply with EU data protection law because it offers services to EU residents.  By ignoring access requests, WeChat violated Article 15 and may face fines and corrective ordershttps://noyb.eu/en/how-tiktok-aliexpress-wechat-ignore-your-gdpr-rights#:~:text=%2F%C2%A0%2017%20July%202025.",https://noyb.eu/en/tiktok-aliexpress-wechat-ignore-gdpr-rights-noyb-complaints
GDPR – unlawful transfer of personal data to China,TikTok,"In January 2025, noyb filed complaints against TikTok and other China‑based companies for unlawfully transferring European users’ data to China.  The article explains that EU law prohibits personal data from being sent to countries without adequate safeguards.  noyb argues that Chinese companies must demonstrate that EU citizens’ data is protected against government surveillance.  It alleges that TikTok continues to transfer user data to China despite promises to localize data in Europe, violating the GDPR’s transfer restrictionshttps://noyb.eu/en/tiktok-aliexpress-shein-co-surrender-europeans-data-authoritarian-china#:~:text=%2F%C2%A0%2016%20January%202025.",https://noyb.eu/en/chinese-apps-transfer-european-data-to-china-noyb-complaints
GDPR – unlawful transfer of personal data to China,AliExpress,"The same January 2025 complaints accuse AliExpress of sending European users’ data to China without adequate safeguards.  According to the article, AliExpress collects personal and transaction data from European customers and transfers it to servers in China, where Chinese security agencies may access it.  noyb contends that such transfers violate the GDPR’s requirement for appropriate safeguards and calls for heavy fines to deter further violationshttps://noyb.eu/en/tiktok-aliexpress-shein-co-surrender-europeans-data-authoritarian-china#:~:text=%2F%C2%A0%2016%20January%202025.",https://noyb.eu/en/chinese-apps-transfer-european-data-to-china-noyb-complaints
GDPR – unlawful transfer of personal data to China,Shein,"noyb’s January 2025 complaints also target fast‑fashion retailer Shein for transferring European customers’ personal data to China.  The article states that Shein collects personal information through its app and website and stores it in China, where the data may be accessed by Chinese authorities.  noyb alleges this violates the GDPR’s restrictions on data transfers to third countries and demands that data protection authorities order Shein to stop the transfers and impose significant fineshttps://noyb.eu/en/tiktok-aliexpress-shein-co-surrender-europeans-data-authoritarian-china#:~:text=%2F%C2%A0%2016%20January%202025.",https://noyb.eu/en/chinese-apps-transfer-european-data-to-china-noyb-complaints
